Disease,Count
Salivary Retention Cysts and Mucous Cysts (Salivary Gland Cysts),3
Epidural tumor,3
Sebaceous Gland Tumor,3
Verruca Plana,3
Jugular veinitis,3
Class III Malocclusion,3
Orbital Fracture,3
Waterlogging and immersion,3
Hepatic Portal Vein Shunt (Congenital),3
Sinus Arrest and Sinoatrial Block,3
Conjunctivitis Associated with Lacrimal Deficiency,3
Bladder dysplasia,3
Fibrotic Myopathy,3
Auricular chondritis,3
Thymic Lymphoma,3
Exfoliation of the nail,3
Cutaneous Angiosarcoma,3
Rhinosporidiosis,3
Hepatic Blood Deficiency,3
Chronic Myeloid Leukemia (CML),3
Multiple System Neuronal Degenerative Disorders/Dystrophy,3
Implanted Chip,3
Blood and Qi rushing upwards,3
Bouvier des Flandres Laryngeal/Esophageal Dysfunction,3
Gastrointestinal Cold Syndrome,2
Endrin Poisoning,2
Otitis Media with Suppuration,2
Hansen Type I Intervertebral Disc Herniation,2
Continuous Ophthalmic Drug Delivery,2
Cysticercosis,2
Sinus cyst,2
Heart and Kidney Yin Deficiency,2
Immunologically Mediated Dry Eye Disease,2
Excessive Damp Fire,2
Band Keratopathy,2
Foramen Magnum-Related Malformations,2
Continuous Administration to the Cardiovascular System,2
Blood Deficiency Generating Wind,2
Transitional Cell Carcinoma,2
Ciliary Body Tumor,2
Cricopharyngeal Paresis/Dysfunction,2
Injury to the ulnar flexor muscles of the wrist,2
Sudden Deafness,2
Horn ulcers,2
Posterior Elastic Layer Bulging,2
Laryngeal Tumor,2
Equine Strangles,2
Ceruminous Cystadenomatosis,2
Nasal bleeding,2
Accumulation and Stagnation,2
Renal-Associated Encephalopathy,2
Yang Collapse Syndrome,2
Idiopathic Aseptic Granuloma and Purulent Granuloma,2
Lithium Poisoning,2
Intrahepatic Arteriovenous Malformation,2
Cushing's Syndrome / Hypercortisolism,2
Injury from Food and Drink leading to Diarrhea,2
Non-lymphatic Splenic Sarcoma,2
Corneal Epithelial Inclusion Cyst,2
Rupture of the Collateral Ligament,2
Acetaldehyde Poisoning,2
Bladder polyp,2
Pharyngeal/Laryngeal Myositis,2
Chondroma,2
Dental Pulp Stone,2
Aphthous Ulcer,2
Kidney Deficiency leading to Edema,2
Bite wound,2
Pharyngeal Trauma,2
Intraocular Sarcoma,2
Oxyuriasis,2
Sebaceous Gland Adenoma,2
Calcium-Phosphorus Metabolism Disorder,2
Transient myocardial hypertrophy,2
Marine Biotoxin Poisoning,2
Bladder Dysfunction - Detrusor Hypotonia,2
Hot strangury,2
Congenital Uveal Anomalies,2
Disharmony of Ascending and Descending,2
Supply-Chain Coordination Committee,2
Vascular Pseudohemophilia,2
Hyperplasia of Mammary Glands,2
Manic Disorder,2
Cat Pupil Spasm Syndrome,2
Hypertension of Liver Yang,2
Hyper viscosity syndrome,2
Nutritional Myopathy,2
Salivary Gland Tumor,2
Senile Iris Atrophy,2
Aelurostrongylus abstrusus (Feline Lungworm),2
Congenital Vascular Diseases,2
Neonatal Horse Hemolytic Disease,2
Masticatory Myositis / Atrophic Myositis,2
Methoxyflurane Poisoning,2
Visual Cortex Lesion,2
Mediastinitis,2
Harmless Treatment,2
Supernumerary Teeth,2
Nematode Infection of the Eyelid,2
Hookworm Larva Dermatitis,2
Use of Interferon Alpha and Interferon Beta,2
Damp-heat in the bladder,2
Idiopathic Hyperkeratosis of the Nasal Tip,2
Small lacrimal punctum,2
Endocrine-Related Encephalopathy,2
Crystalline Corneal Opacification,2
Horn Injury,2
Folic Acid Deficiency,2
Mast Cell Tumor (MCT),2
Hepatic Fire Hyperactivity,2
Osteomyelitis due to sepsis,2
Idiopathic Liver Fibrosis,2
Qi Stagnation and Dampness Obstruction,2
Squamous Cell Tumor,2
Liver Channel Wind-Heat,2
External Auditory Canal Hyperplasia,2
Rheumatism,2
Postpartum Milk,2
Hornet Sting Wound,2
Evil Invasion and Righteous Collapse,2
Quadriceps Rigidity,2
Andromedotoxin Poisoning,2
Gastrointestinal Dryness and Heat,2
Liver and Gallbladder Heat Syndrome,2
Diabetic Retinopathy,2
Colorectal Tumors,2
Bark Rot Disease,2
Heart and Kidney Yang Deficiency,2
Infraspinatus Tendon Contracture,2
Punctum Luteum,2
Rheumatic Muscular Accumulation,2
Diabetes—Hyperosmolar Coma,2
Fibrosis Reactive Enteritis,2
Feather and Feather Follicle Diseases,2
Feline Atopic Syndrome (FAS),2
Odontogenic Calcifying Epithelial Tumor,2
Neuroblastoma,2
Hepato-Gastric Yin Deficiency,2
Phlegm-Damp Obstructing the Lung,2
Leukoderma,2
Porencephaly,2
Anal sac adenocarcinoma,2
TCC (Transaction Coordination Committee),2
Tularemia,2
Thermal Bi Syndrome,2
Aortic Body Tumor,2
Gingivitis/Periodontitis,2
Autoimmune Polymyositis,2
Remote Sensory Motor Neuropathy,2
Deformation of T-shaped cartilage,2
Pemphigus Vulgaris,2
Esophageal stenosis,2
Clutch Jamming,2
Atrial Standstill,2
Aminoglycoside Drug Poisoning,2
Tumors of the Toe Region,2
Senile Iridatrophy,2
Vaginal Malformation,2
Echinoma,2
Osteochondrosarcoma of the Extremities,2
Necrotizing Meningoencephalitis - Cerebral Type,2
Upper Jiao Heat Stagnation,2
Pigmentation Abnormalities,2
Caudal Occipital Malformation Syndrome,2
Bursal Disease,2
Limbic Melanocytoma,2
Heterochromia Iridis,2
Disappearance of palpebral reflex,2
Tuberculosis,2
Vitreoretinal Fibrous Adhesion,2
Chest Bi-Syndrome,2
Lumbar Vertebral Fracture,2
Excessive Summer Heat Penetration,2
Iridic Melanosis,2
Phlegm-Damp Stagnation,2
Qi Stagnation Syndrome,2
Temporomandibular Joint Locking Syndrome,2
Horsepox,2
Lymphocyte-Plasma Cell Periodontitis/Pharyngitis,2
Pseudoneoplasms (Rodentia),2
Yin Deficiency with Flaring Fire,2
Anterior Chamber Hypopyon,2
Liver and Gallbladder Heat Stagnation,2
Myeloschisis,2
Fiber-Reactive Enteritis,2
Appetite Decrease/Anorexia to be Investigated,2
Conjunctival injury,2
Parasitic Encephalopathy,2
Spinal Arachnoid Diverticulum,2
"MCT LSA

(Note: ""MCT LSA"" is an abbreviation or specific term that may not have a direct translation. It is often best to keep such terms in their original form to maintain accuracy and avoid misinterpretation. If additional context is provided, a more specific translation or explanation could be given.)",2
Tarsal Inversion with Trichiasis,2
Tear Wound of the Ear,2
Retinal Dysplasia,2
Conjunctivitis associated with tear deficiency,2
Chicken Lame,2
Epidermolysis Bullosa,2
Hemorrhagic Cerebellar Infarction,2
Phlegm-Dampness Accumulating in the Lung,2
Dermal sinus,2
Internal stagnation of summer heat,2
Rectovaginal Fistula,2
Ceruminous adenoma,2
Hepatocellular Adenoma,2
Yin Injury and Stomach Collapse,2
"""Night Blindness""",2
Penetrating Chest Wall Trauma,2
Leukocyte Adhesion Deficiency (LAD),2
Retention and Stagnation,2
Renal Tubular Acidosis,2
Flat Wart,2
Trichinosis,2
English Springer Spaniel Multisystem Disease,2
Fusion of tooth roots,2
Mycetoma (Pseudoactinomycetic Granuloma),2
Fracture of the nasal bone,2
Salt poisoning,2
Phthisis bulbi,2
Intramedullary Tumor,2
Senile Iridic Atrophy,2
Acupuncture Health Care,2
Dentine Peg,2
Injury due to Improper Diet leading to Diarrhea,2
Deficiency Cold Syndrome,2
Penile Fracture,2
Fracture of the pedal bone,2
Retention and stagnation,2
Gastrinoma,2
Congenital Misplacement of Lacrimal Puncta and Lacrimal Canaliculi,2
Intraocular Tumor,2
Kidney Deficiency and Marrow Depletion,2
Phlegm-heat obstructing the lung,2
Choline Deficiency,2
Hypertensive Liver Yang,2
Tracheal dysplasia,2
Intimidated and Timid,2
Hypopigmentary alopecia,2
Insufficient Lung Qi,2
Tonsillar Tumor,2
Complete Dislocation of the Lens,2
Visual Center Lesion,1
Cystadenoma,1
Externa Parasite Control,1
Continuous Drug Delivery via the Dermatological System,1
Cyclic trunk alopecia,1
Otitis Media with Effusion,1
"Viral, Rickettsial, and Protozoal Dermatoses",1
Supraventricular Tachycardia,1
Cushing's Syndrome/Hyperadrenocorticism,1
Spleen Deficiency Diarrhea,1
Lymphoplasmacytic Periodontitis/Pharyngitis,1
Ganglioneuroma,1
Penicillamine Poisoning (Penicillin Degradation Product),1
Cholesterol Deposition in the Eye,1
Blood Stasis Blocking the Collaterals,1
Foreign Body in the Nasotracheal Airway,1
Cutaneous Plasma Cell Tumors,1
"MCT LSA

(Note: ""MCT LSA"" appears to be an abbreviation or a specific term. Without additional context, it is challenging to provide a precise translation. However, if ""MCT"" refers to ""Medium Chain Triglycerides"" and ""LSA"" refers to a specific context or organization, the translation might remain as ""MCT LSA"" to preserve the original terminology. If more context is provided, a more specific translation can be attempted.)",1
Interstitial Mesothelioma,1
Lymphangiosarcoma,1
Yin Deficiency with Damp-Heat,1
Spinal Meningocele/Myelomeningocele,1
Jugular vein inflammation,1
Iris absence or iris dysplasia,1
Lung Qi Deficiency,1
Granulomatous Meningoencephalitis-Cerebellar,1
Ionophore Drug Poisoning (Salinomycin),1
Tight Lips Syndrome,1
Stomach Qi fails to descend.,1
Oral Papilloma,1
Sepsis invasion,1
Excessive FluidAscending,1
Florida Keratopathy,1
Left Bundle Branch Block (LBBB),1
Foreign Body in Nasolacrimal Duct,1
Corneal Phthisis (Necrotizing Keratitis),1
Malignant Mesenchymoma,1
Foreign Body in the Airway,1
Myopathy (Hereditary X-linked Muscular Dystrophy),1
Punctal Occlusion,1
Botulism poisoning,1
Vitelline Peritonitis,1
Vesicoureteral Reflux,1
Poison Hemlock/Deadly Hemlock Plant Poisoning (European Hemlock/European Poison Hemlock),1
Alveolar bone necrosis,1
Dysentery due to improper diet,1
Neuronal Vacuolar Degeneration,1
Discogenic Spondylitis,1
Pigmentation Abnormality,1
Limbic Defect and Staphyloma,1
Dobermann's Dancing Disease - Peripheral Neuropathy,1
Hypopigmentation of the Nose,1
Rhino-mycosis,1
Leigh's Disease,1
Urachal Diverticulum of the Bladder,1
Digitalis intoxication,1
Third Eyelid Tumor,1
Spleen Failing to Control Blood,1
Deficiency of Spleen Yang,1
Multiple System Neurodegenerative/Dystrophic Lesions,1
Chondroid Osteoma,1
Cricopharyngeal Hypomobility/Dysfunction,1
Lysosomal Storage Disorders - Cerebellar Type,1
Congenital Lens Malformation,1
Chicken lame,1
Upward Rush of Qi and Blood,1
Persistent Hyperplastic Primary Vitreous/Persistent Hyaloid Vasculature (PHPV/PHTVL),1
Cerebellar Diseases,1
Cold-Damp Syndrome,1
Granulosa Cell Tumor,1
Phlegm-Retention in the Stomach,1
Weakness of Heart Yang,1
Spinal Tumor,1
Subcutaneous abscess,1
Nasolacrimal Duct Tumor,1
Internal Stirring of Liver Wind,1
Fungal Meningoencephalitis,1
Tooth Avulsion (Displacement from Alveolar Socket),1
Blood fails to nourish the tendons,1
Conjunctival Tumor,1
Laminitis,1
Excessive Heat Leading to Flesh Decay,1
Urinary retention,1
Cholangioma,1
Coumarin and Its Derivatives Poisoning,1
Toxic Infiltration of the Heart and Liver,1
Cold-Dampness in the Middle Jiao,1
Wind-Cold Invading the Lung,1
Cold-Dampness Obstructing the Meridians,1
Qi and Blood Rushing Upward,1
Aminoglycoside Antibiotic Poisoning,1
Infusion,1
Moldy Corn Poisoning,1
Goiter,1
Golden Retriever Myelin Deficient Polyneuropathy,1
Mycobacterial Disease,1
Lipogranulomatous Conjunctivitis,1
Blood Deficiency and Wind Dryness,1
Ethylene Glycol Poisoning,1
Sertoli Cell Tumor,1
Myopathy (Hereditary),1
Pemphigus foliaceus,1
Pigmentary Choroidal Retinal Degeneration,1
Chondritis of the ear,1
Investigation of bloody stool,1
Complex crown-root fracture,1
Lacrimal Sac Atresia,1
Spleen and Lung Qi Deficiency,1
Wind-Cold Invasion of the Lung,1
Adrenal Cortex Tumor,1
Malocclusion of Incisors/Overgrown Incisors (Rodentia),1
Rushing of Qi and Blood,1
Wind-Cold Binding the Lung,1
Germinoma,1
Pleuropneumonia,1
Liver Failure,1
Capsular Eye,1
Sick Sinus Syndrome,1
Neonatal Hemolytic Disease,1
Dental pulp stone,1
Model Alopecia Areata,1
Locking anus,1
Allergic Pneumonitis,1
Vitamin E Deficiency,1
Tooth Fusion,1
Ureteral Tumor,1
Cyclical Truncal Alopecia,1
Bacterial Dermatosis,1
Lacrimal Duct Cyst,1
Limbic Melanoma,1
Chondroid Osteochondroma,1
Iliac Fracture,1
Uveal Melanoma,1
Damp-heat in the liver and gallbladder,1
Dampness-Heat in the Liver and Gallbladder,1
Yin Deficiency of the Heart and Kidney,1
Bilateral Degenerative Atrioventricular Valve Disease,1
Glycogen Storage Disease (Glycogen Metabolism Disorder),1
Continuous Administration to the Digestive System,1
Dysfunction of Lung in Dispersing andDescending,1
Degenerative Vitreous Opacities,1
Visual Center Lesions,1
Iodine Metabolism Disorders,1
Naso-oral fistula,1
Cholangiocarcinoma,1
Temporomandibular Ankylosis,1
Small crystalline bodies,1
Remote Sensory-Motor Neuropathy,1
Entropion with Nasal Fold,1
Undifferentiated Carcinoma,1
Tibialis Anterior Muscle Injury,1
Internal Obstruction of Cold-Dampness,1
Salivary Gland Cancer,1
Hypopituitarism,1
Hyperandrogenism,1
Necrotizing Meningoencephalitis-Cerebral Type,1
Humerus Fracture,1
Weak Spleen Qi,1
Schnauzer Comedone Syndrome,1
Inflammatory polyp,1
Osteochondroma,1
Myoblastoma,1
Bacterial Dermatoses,1
Fibrosis-Associated Reactive Enteritis,1
Fibro reactive enteritis,1
Xu Bi (Deficiency-type Bi Syndrome),1
Progressive Rod-Cone Dystrophy,1
Nodular opacity,1
Root Fracture,1
Feline Herpesvirus Infection (Deleted),1
Infraspinatus Muscle Contracture,1
Giardia,1
Hereditary Retinal Dysplasia,1
Locking Anus,1
Dampness-Heat in the Gastrointestinal Tract,1
Hamartoma,1
Liver and Stomach Yin Deficiency,1
Beak Diseases,1
Parathyroid Tumor,1
Food Poisoning from Spoiled Food,1
Stasis Obstructing the Brain Collaterals,1
Copper Poisoning,1
Taurine Deficiency Retinopathy,1
Coccygeal Fracture,1
Electrical Shock,1
Lens Defect,1
Blood Heat Stagnation,1
Aortic Valve Dysplasia,1
Qi Reversal Syndrome,1
Folate Deficiency,1
MCT (Medium-chain Triglycerides),1
Endoparasite control,1
Hornet sting injury,1
Dryness and stagnation of heat in the lungs,1
Intestinal parasitic infestation,1
Kidney Deficiency and Water Overflow,1
Sinus arrest and sinoatrial block,1
Endoparasite Control,1
Aniridia/Iris Hypoplasia,1
Dryness Pathogen Injuring the Lung,1
Coumarin and its derivatives poisoning,1
Iron Metabolism Disorders,1
Yangming Excessive Heat,1
Epidural Spinal Tumor,1
Nonunion of the olecranon process,1
High Viscosity Retinal Dysplasia,1
Orbital Fat Prolapse,1
Goiter or Thyroid Nodule,1
Nodular Granulomatous Superficial Scleritis,1
Inapparent Fever,1
Lupus-like nail dystrophy,1
Vecuronium Bromide Poisoning,1
Intimidated and Timorous,1
Split hoof,1
Urethral calculus,1
Juvenile Foal Colibacillosis,1
Chronic pharyngitis,1
Atrial Wall Rupture,1
Habitual Squint,1
Use of Interferon α and Interferon β,1
Mycobacteriosis,1
Dampness-Heat,1
Qi Deficiency Syndrome,1
Leukocytoclastic Vasculitis,1
Mesenteric Volvulus/Intestinal Volvulus,1
Acute Torsades de Pointes Ventricular Arrhythmia,1
Small crystallites,1
Red Eye of Heaven,1
Primary Retinal Tumor,1
Spontaneous Self-Mutilation,1
Pending Investigation of Neurological Disorders,1
Neurogenic Self-Induced Alopecia,1
Oral Malignant Melanoma,1
Coumarin and its Derivatives Poisoning,1
Nasal Fold Trichiasis,1
Yang Deficiency with Cold Stagnation,1
Hair mite,1
Nutritional Metabolic Retinopathy,1
Vitreous Trauma,1
Insufficiency of Kidney Qi,1
Impaired Lung Collateral Flow,1
Congenital Deficiency,1
Wind-Heat and Blood Dryness,1
Health and Safety Authority,1
Elliptical Lipid Corneal Degeneration,1
Equine Influenza,1
"Multiple Exostoses (Hereditary Multiple Exostoses, HME)",1
Lung Qi Fails to Disperse and Descend,1
Lysosomal Storage Disorders - Spinal Cord,1
African Horse Sickness,1
Congenital Myotonia,1
Summer Pestilence,1
Lacrimal Gland Tumor,1
Vitamin B6 Toxicity,1
Abnormal inner canthal skin (caruncle trichiasis),1
Necrotizing Meningoencephalitis-Cerebellar Type,1
Pulp Calcification,1
Vitiligo,1
Wall Sporulation Mycosis,1
Liver Qi Attacking the Stomach,1
Nasolacrimal duct obstruction,1
Fibro Reactive Enteritis,1
Dental Dysplasia,1
Lung Qi not diffused,1
Malignant Peripheral Nerve Sheath Tumor (MPNST),1
Extrabulbar Myositis,1
Esophageal Tumors,1
Obstructive Pain,1
Damp-heat accumulation,1
Dental dysplasia,1
Feather Picking,1
Selenium Poisoning,1
Punctum Lacomme,1
Melancholy affects the spirit.,1
Cold-Damp Obstruction of the Meridians,1
Zygomatic Bone Fracture,1
Excessive Heat Leads to Flesh Decay,1
Heart-Kidney Yang Deficiency,1
Congenital Glaucoma,1
Dilated cardiomyopathy,1
Rottweiler Distal Myopathy,1
Timid and apprehensive,1
"MCT LSA

(Note: ""MCT LSA"" is an abbreviation that may stand for specific terms in a particular context. Without additional context, it is challenging to provide a precise translation. However, if ""MCT"" refers to ""Medium Chain Triglycerides"" and ""LSA"" refers to a specific type of analysis or component, a possible translation could be ""Medium Chain Triglycerides Linear Sweep Analysis"" or similar, depending on the context. Please provide more details for a more accurate translation.)",1
Acute Myeloid Leukemia (AML),1
Injury to the Flexor Carpi Ulnaris Muscle,1
Parascaridiasis equi,1
Hypopigmentation of the nose,1
Blood Stasis and Obstruction,1
Hair Mites,1
Parasitic Myocarditis,1
Electrolyte-Associated Encephalopathy,1
Lesions of the Visual Center,1
Compressive Hydrated Nucleus Pulposus Extrusion,1
Hypoplasia or Defect of Posterior Articular Processes,1
Neurofibrosarcoma,1
Coagulation Factor Deficiency,1
Narrow palpebral fissure,1
Spleen and Heart Deficiency,1
Obstructive Laryngitis,1
Appetite Loss/Anorexia Under Investigation,1
Incomplete involution of the placental site,1
Jugular phlebitis,1
Collie Eye Anomaly,1
Deficiency of Qi and Blood,1
Visual Cortex Lesions,1
Ornithosis,1
Gastrointestinal Disorders in Cold Weather,1
Salivary Retention Cysts and Mucinous Cysts (Salivary Gland Cysts),1
Congenital Scleral Defect,1
Iris freckle,1
Anterior Uveal Tumor,1
Pending Examination for Bloody Stool,1
Meniscus and Meniscal Ligament Injuries,1
Blood Deficiency Syndrome,1
Undifferentiated carcinoma,1
The upward perversion of pathogenic fluid,1
Blood Heat Syndrome,1
"Paroxysmal Muscular Rigidity (""Spasm"")",1
Monocytic Tumor,1
Exoparasite Control,1
Patent Ductus Arteriosus with Pulmonary Hypertension,1
Calcium Deposition in the Skin,1
Melanotic Glaucoma,1
Dihydro-β-erythroidine Poisoning (alkaloid extracted from the seeds of Erythrina plants),1
Blood Stasis Syndrome,1
"Polyarthritis, erosive, immune-mediated",1
Juvenile Foal Rhodococcus equi Pneumonia,1
Penicillamine Drug Poisoning (Penicillin Degradation Product),1
Aseptic Eosinophilic Pustulosis,1
Roundworm Infection,1
Phlegm-turbidity obstruction,1
Hyperactive Liver Fire,1
**Horse Mange**,1
Exfoliative Cutaneous Lupus Erythematosus (ECLE),1
Atrial Flutter,1
Verruca vulgaris,1
Synovial Sarcoma,1
Polyostotic Osteomyelitis,1
Hookworm Larva Migrans Dermatitis,1
Heat Accumulation and Collateral Stasis,1
Other Skin Tumors,1
Benign Melanoma,1
Intraocular Myiasis,1
Wall Sporulation Fungus Disease,1
"MCT LSA

(Note: ""MCT LSA"" appears to be an abbreviation or specific term. Without additional context, it is challenging to provide a precise translation. However, if ""MCT"" stands for ""Medium Chain Triglycerides"" and ""LSA"" stands for ""Linseed, Sunflower, and Almond,"" a possible translation could be:

""Medium Chain Triglycerides Linseed, Sunflower, and Almond"")

If this interpretation is incorrect, please provide more context for a more accurate translation.",1
Osteopathy,1
Retinopathy of Prematurity (ROP),1
Taurine Deficiency,1
Small Intestinal Fibrosarcoma,1
Carbuncle Disease,1
Tympanitis,1
Simple Crown Fracture,1
Rickettsial Conjunctivitis,1
Blood Heat Injuring the Collaterals,1
Uterine Atony,1
Infective Myocarditis,1
Cold and Dampness Coexist with Equal Emphasis,1
Parasitic Keratitis,1
Continuous Drug Administration via the Ear System,1
Amniotic Fluid Embolism,1
Dampness Stagnating the Spleen and Stomach,1
Chicken Limping,1
Secondary Iridial Atrophy,1
Spleen Qi Deficiency with Sinking Qi,1
Cerebellar Cortical Dysplasia,1
Chicken Claws,1
Fibrotic-type Myopathy,1
Right Bundle Branch Block,1
"Dampness, Heat, and Blood Stasis",1
Hepatosplenic Blood Stasis,1
Yin Deficiency and Lung Dryness,1
Bog Spavin,1
Wind-Cold-Dampness Obstruction,1
Subarachnoid Spinal Canal Tumor,1
Lung Heat and Fluid Injury,1
Attack of Warm Toxin on the Exterior,1
Cutaneous Metastatic Tumors,1
Posterior Capsular Opacification (PCO),1
Tooth Edge-to-Edge Occlusion,1
Iron Poisoning,1
Infectious Dysentery,1
Blood Stasis Obstructing the Diaphragm,1
Zinc-Responsive Dermatosis,1
Ocular Palpebral Disorders,1
Yin Deficiency with Heat Stagnation,1
Phimosis,1
Medial Canthal Pocket Syndrome,1
Vesicular eye,1
Bilateral Atrioventricular Valve Degenerative Disease,1
Dampness-Heat in the Stomach and Intestines,1
Pulp mineralization,1
Hyperplastic Necrotizing Otitis,1
Uterine Tumors,1
Goiter or Tumor,1
Quinine/Cinchona Alkaloid Drug Poisoning,1
Lipoma/Infiltrating Lipoma/Liposarcoma,1
Neuronal Axonal Dysplasia,1
Abnormal medial canthal skin (caruncle trichiasis),1
Nonunion of the Olecranon Process,1
Periapical Abscess,1
Ear Louse,1
Reentrant Supraventricular Arrhythmia,1
Polymicrogyria,1
"Sifan Feng (a traditional Chinese term referring to a condition characterized by skin eruptions, often used in traditional Chinese medicine)",1
Palpebral Trauma,1
Cutaneous Plasma Cell Tumor,1
Biliary Tract Tumors,1
Avulsion of the lateral or medial head of the gastrocnemius muscle,1
Syndrome of Concurrent Wei Qi Disorder,1
