Symptom1,Symptom2,Count
Blister,Reduced physical activity,1
Blister,Reduced water intake,1
Blister,Restlessness and Straining,1
Blister,Runny nose,2
Blister,Salivation and fecal and urinary incontinence,1
Blister,Skin laxity and lack of elasticity,1
Blister,Soft Stool,1
Blister,Spinning in circles,1
Blister,Stiff Gait,1
Blister,Stiff limbs and lameness,1
Blister,Stiffness and difficulty in movement after prolonged lying down or upon getting up,1
Blister,Superficial Lymph Node Enlargement,1
Blister,Swelling at the affected area,1
Blister,Swelling of the Distal Joint,1
Blister,Swelling under the eyes,1
Blister,Syncope,1
Blister,"The affected dog extends the affected limb away from the body while sitting, adopting a slightly relaxed posture.",1
Blister,The feces are coated with mucus.,1
Blister,The feces are hard and dry.,1
Blister,"The head is held high, unwilling to bow down.",1
Blister,The limbs exhibit a swimming motion.,1
Blister,Tic,1
Blister,Tilted head,1
Blister,Tremor of the head,1
Blister,Ulcerative Keratitis,3
Blister,Unable to lift one's head when bowing down.,1
Blister,Unable to stand,1
Blister,Urinary Incontinence,2
Blister,Urine appears yellow to dark brown.,1
Blister,Vaginal discharge,1
Blister,Visible mucosal cyanosis,1
Blister,Watery Diarrhea,1
Blister,Watery stool,1
Blister,Weakness in the limbs or in the forelimbs and hindlimbs,1
Blister,Weakness of the limbs,1
Blister,Wiping the buttocks,2
Blister,Small mass,6
Blister,Skin Redness,1
Blister,Conjunctival congestion,2
Blister,Conjunctival vascular congestion,3
Blister,Dilated pupils,3
Blister,Facial swelling,1
Blister,Hyperemia,1
Blister,Mucopurulent ocular discharge,3
Blister,Nystagmus,2
Blister,Photophobia,2
Blister,Pupillary constriction,3
Blister,Pupillary dilation,3
Blister,Pupillary white discharge,2
Blister,Purulent ocular discharge (purulent eye),1
Blister,Responsive to rapidly approaching objects,1
Blister,Bruising of the skin,1
Blister,Ecchymosis,1
Blister,Swelling at the base of the penis,1
Blister,Interdigital redness,5
Blister,Elevated Body Temperature (Fever),1
Blister,Patchy,2
Blister,Presence of fistula,1
Blister,"Lice, fleas, ticks, or mites found on the body",1
Blister,Exhibits a sense of fluctuation,1
Blister,Facial Edema,1
Blister,Nasofacial Swelling,1
Blister,Epiphora,2
Blister,Earlobe Hair Removal,1
Blister,Head Shaking,2
Blister,Circular hair removal,1
Blister,Conjunctival redness and swelling,1
Blister,Foamy nasal discharge,1
Blister,Hair thinning,1
Blister,Hypertrophic Stenosis of the External Auditory Canal,1
Blister,Marginal Desquamation,1
Blister,Oral Ulcer on the Tongue Surface,2
Blister,Red papules on the skin,3
Blister,Reflux,1
Blister,Skin thickening,1
Blister,There is a fistula.,1
Blister,Tick Head Remnants,1
Blister,Visible Ticks,1
Blister,Paralysis of the hind limbs,1
Blister,Unable to lift one's head when looking down.,1
Blister,Hemorrhagic spot,1
Blister,Small Mass,1
Blister,Exposure of red wound surface,2
Blister,Hyperplastic External Auditory Canal Stenosis,2
Blister,Interdigital erythema,1
Blister,Loss of appetite,1
Blister,"Most of the time, maintain a sitting or lying down position.",1
Blister,Uterine Prolapse,1
Blister,Conjunctival Hyperemia,1
Blister,Exhibits a sense of fluctuation.,1
Blister,Gingival bleeding,1
Blister,Nasal discharge resembling frothy fluid,1
Blister,Nasal stenosis,1
Interdigital reddening,Redness and swelling,3
Interdigital reddening,Skin Injury,4
Interdigital reddening,Skin Ulcer Scar,2
Interdigital reddening,Purulent ocular discharge,1
Interdigital reddening,Ulceration,10
Interdigital reddening,Skin Wound,4
Interdigital reddening,Skin Inflammation,8
Interdigital reddening,Skin Swelling,3
Interdigital reddening,Skin redness and swelling,9
Interdigital reddening,Thickening and roughening of the skin,1
Interdigital reddening,Limb Edema,2
Interdigital reddening,Paralysis,1
Interdigital reddening,Tic,1
Interdigital reddening,Ulcer,2
Interdigital reddening,Rubbing the buttocks,2
Interdigital reddening,Pain,2
Interdigital reddening,Itchy skin,1
Interdigital reddening,Itching,11
Interdigital reddening,Purulent Nasal Discharge (Nasal Discharge),1
Interdigital reddening,Pustule,9
Interdigital reddening,Skin injury,1
Interdigital reddening,Skin redness,8
Interdigital reddening,Oily Ear Discharge,1
Interdigital reddening,Purulent ear discharge,3
Interdigital reddening,There are black spots the size of sesame seeds on the skin.,1
Interdigital reddening,Thickening of the skin,2
Interdigital reddening,Swelling,2
Interdigital reddening,Scrotal erythema,1
Interdigital reddening,Redness of the chin skin,1
Interdigital reddening,Scratch the eyes,2
Interdigital reddening,There are black spots under the chin.,1
Interdigital reddening,"Lice, fleas, ticks, or mites found on the body",1
Interdigital reddening,Sparse hair at the joints,1
Interdigital reddening,Joint Inflammation,1
Interdigital reddening,Joint Swelling,1
Interdigital reddening,Quadriplegia,1
Interdigital reddening,Oily ear discharge,1
Interdigital reddening,Oral Pain,1
Interdigital reddening,Purulent intracanalicular discharge,1
Interdigital reddening,Scratching the ears,2
Interdigital reddening,Sialorrhea,1
Interdigital reddening,Stomatitis,1
Interdigital reddening,Urinary Incontinence,1
Interdigital reddening,Mental depression,1
Interdigital reddening,Ravenous appetite,1
Interdigital reddening,Oral Malodor,1
Interdigital reddening,Pigmentation,1
Interdigital reddening,Limping,1
Interdigital reddening,Paralysis of the hind limbs,1
Interdigital reddening,Oral Bleeding,1
Interdigital reddening,Oral Ulcer,1
Interdigital reddening,Wound erosion,1
Hindlimb paralysis,Mental depression,62
Hindlimb paralysis,Oral Malodor,6
Hindlimb paralysis,Reduced food intake,8
Hindlimb paralysis,Soft Stool,3
Hindlimb paralysis,Stomatitis,1
Hindlimb paralysis,Stiff Gait,7
Hindlimb paralysis,Hypothermia,3
Hindlimb paralysis,Melena,2
Hindlimb paralysis,Mouth breathing,2
Hindlimb paralysis,Shortness of breath,14
Hindlimb paralysis,Increased food intake,5
Hindlimb paralysis,Loose gums,1
Hindlimb paralysis,Skin Wound,15
Hindlimb paralysis,Vomiting,19
Hindlimb paralysis,Hyperemia of visible mucosa,4
Hindlimb paralysis,"Most of the time, maintain a sitting or lying down position.",2
Hindlimb paralysis,Nasal discharge,2
Hindlimb paralysis,Howl,2
Hindlimb paralysis,Mucosal cyanosis,1
Hindlimb paralysis,Pain,22
Hindlimb paralysis,Weakness of the limbs,12
Hindlimb paralysis,Presence or absence of lameness,6
Hindlimb paralysis,Hyporexia,31
Hindlimb paralysis,Weakness in the limbs or forelimbs and hindlimbs,19
Hindlimb paralysis,Limping,30
Hindlimb paralysis,Itching,15
Hindlimb paralysis,Skin Bruising,6
Hindlimb paralysis,Swelling at the base of the penis,4
Hindlimb paralysis,"The head is held high, unwilling to bow down.",6
Hindlimb paralysis,Loss of appetite,10
Hindlimb paralysis,Respiratory Deficiency,3
Hindlimb paralysis,Tilted head,5
Hindlimb paralysis,Oral Bleeding,6
Hindlimb paralysis,Hypersomnia,2
Hindlimb paralysis,Reduced physical activity,11
Hindlimb paralysis,Mouth Breathing (Cat),1
Hindlimb paralysis,Joint Swelling,10
Hindlimb paralysis,Joint stiffness,7
Hindlimb paralysis,Limb Edema,18
Hindlimb paralysis,Weakness in the limbs,23
Hindlimb paralysis,Papule,4
Hindlimb paralysis,Whether the muscles are atrophied,2
Hindlimb paralysis,Tenesmus,1
Hindlimb paralysis,No defecation,13
Hindlimb paralysis,Oliguria,2
Hindlimb paralysis,Pale visible mucosa,3
Hindlimb paralysis,Muscle Atrophy,5
Hindlimb paralysis,Nasal speculum dryness and cracking,2
Hindlimb paralysis,No Urination,1
Hindlimb paralysis,Salivation,6
Hindlimb paralysis,"Lice, fleas, ticks, or mites found on the body",7
Hindlimb paralysis,Unable to stand,6
Hindlimb paralysis,Tic,9
Hindlimb paralysis,Quadriplegia,10
Hindlimb paralysis,Purulent ear discharge,2
Hindlimb paralysis,Reflux,1
Hindlimb paralysis,Whether the muscles have atrophied,3
Hindlimb paralysis,Increased abdominal circumference,4
Hindlimb paralysis,Shaking Head and Scratching Ears,3
Hindlimb paralysis,Skin damage,1
Hindlimb paralysis,Increased ocular discharge,2
Hindlimb paralysis,Polyuria,3
Hindlimb paralysis,Unable to lift one's head when looking down.,1
Hindlimb paralysis,The tail fur has become very greasy.,1
Hindlimb paralysis,Lymphadenopathy,2
Hindlimb paralysis,Nystagmus,5
Hindlimb paralysis,Visible mucosal cyanosis,3
Hindlimb paralysis,Reduced Urination,6
Hindlimb paralysis,Swelling,3
Hindlimb paralysis,Runny nose,3
Hindlimb paralysis,Pigmentation,3
Hindlimb paralysis,Ulcerative Keratitis,1
Hindlimb paralysis,Inability to stand,8
Hindlimb paralysis,Scratch the eyes,2
Hindlimb paralysis,Syncope,2
Hindlimb paralysis,Presence or absence of skeletal deformity,1
Hindlimb paralysis,Pustule,6
Hindlimb paralysis,Reduced water intake,4
Hindlimb paralysis,"Most of the time, maintain a sitting or lying down posture.",1
Hindlimb paralysis,Vaginal discharge,1
Hindlimb paralysis,Sneezing,5
Hindlimb paralysis,Light-colored bloody stool,2
Hindlimb paralysis,Skeletal Deformation,2
Hindlimb paralysis,Swelling at the affected area,1
Hindlimb paralysis,Redness and swelling,1
Hindlimb paralysis,Motor Dyscoordination,5
Hindlimb paralysis,Visible mucosal icterus,1
Hindlimb paralysis,Purulent ocular discharge,3
Hindlimb paralysis,Stiffness and difficulty in movement after prolonged lying down or upon getting up,3
Hindlimb paralysis,Ulceration,2
Hindlimb paralysis,Mucosal Hemorrhage,4
Hindlimb paralysis,Petechiae,1
Hindlimb paralysis,Joint Inflammation,1
Hindlimb paralysis,Joint and muscle pain,1
Hindlimb paralysis,Progressive Arthritis,1
Hindlimb paralysis,Joint and Muscle Pain,2
Hindlimb paralysis,"Presence or absence of limb weakness, including forelimb and hindlimb weakness",1
Hindlimb paralysis,Increased vaginal discharge,4
Hindlimb paralysis,Rubbing the buttocks,1
Hindlimb paralysis,Joint inflammation,1
Hindlimb paralysis,Skin redness and swelling,3
Hindlimb paralysis,Incapacitated,1
Hindlimb paralysis,Increased heart rate,1
Hindlimb paralysis,Howling,1
Hindlimb paralysis,Proptosis of the eyeball,1
Hindlimb paralysis,Presence or absence of limping,2
Hindlimb paralysis,Motor Ataxia,1
Hindlimb paralysis,Pica,1
Hindlimb paralysis,Oily Ear Discharge,1
Hindlimb paralysis,Scab Formation,1
Hindlimb paralysis,Purulent Nasal Discharge (Nasal Discharge),2
Hindlimb paralysis,Purulent ocular discharge (purulent eye),2
Hindlimb paralysis,Neurological symptoms (such as seizures),4
Hindlimb paralysis,Nasal stenosis,3
Hindlimb paralysis,Spinning in circles,2
Hindlimb paralysis,Hyperventilation,1
Hindlimb paralysis,Shortness of Breath,1
Hindlimb paralysis,Insect Eggs,1
Hindlimb paralysis,"Lice, fleas, ticks, or mites are found on the body.",1
Hindlimb paralysis,Urinary Incontinence,2
Hindlimb paralysis,On tiptoes,1
Hindlimb paralysis,Hyperpigmentation,1
Hindlimb paralysis,Skin redness,1
Hindlimb paralysis,Presence or absence of weakness in the limbs or forelimbs and hindlimbs,1
Hindlimb paralysis,Whether the muscle atrophies,1
Hyperemia,Increased ocular discharge,17
Hyperemia,Skin redness and swelling,10
Hyperemia,Increased vaginal discharge,2
Hyperemia,Mental depression,3
Hyperemia,Purulent ocular discharge,9
Hyperemia,Ulcer,1
Hyperemia,Mucopurulent ocular discharge,10
Hyperemia,Nystagmus,12
Hyperemia,Ocular Abnormalities,10
Hyperemia,Photophobia,10
Hyperemia,Protrusion of the eyeball from the orbit,4
Hyperemia,Pupillary constriction,10
Hyperemia,Pupillary dilation,14
Hyperemia,Pupillary white discharge,6
Hyperemia,Purulent ocular discharge (purulent eye),6
Hyperemia,Responsive to rapidly approaching objects,9
Hyperemia,Ulcerative Keratitis,9
Hyperemia,Limping,1
Hyperemia,Pain,4
Hyperemia,Neurological symptoms (such as seizures),1
Hyperemia,Quadriplegia,1
Hyperemia,Skin Wound,3
Hyperemia,Melena,1
Hyperemia,Hyperemia of visible mucosa,7
Hyperemia,Lesion Mass,1
Hyperemia,Proptosis of the eyeball,6
Hyperemia,Redness and swelling,4
Hyperemia,Skin Bruising,2
Hyperemia,Swelling,3
Hyperemia,Visible mucosal congestion,1
Hyperemia,Reduced food intake,1
Hyperemia,Swelling at the base of the penis,3
Hyperemia,Itching,5
Hyperemia,Rubbing the buttocks,1
Hyperemia,Light-colored bloody stool,2
Hyperemia,Muscle Atrophy,1
Hyperemia,Scratch the eyes,3
Hyperemia,Ulcerative Infection,1
Hyperemia,Pustule,3
Hyperemia,Infected Ulceration,1
Hyperemia,Itchy skin,1
Hyperemia,Loose gums,1
Hyperemia,"Manifestation of inflammatory changes such as redness, swelling, heat, and pain.",1
Hyperemia,Miliary Dermatitis,1
Hyperemia,Mucosal Ulcer,1
Hyperemia,Nodule,1
Hyperemia,Non-Pruritic Alopecia,1
Hyperemia,Oral Bleeding,1
Hyperemia,Oral Bloody Secretions,1
Hyperemia,Oral Malodor,2
Hyperemia,Oral Pain,1
Hyperemia,Oral Ulcer,1
Hyperemia,Oral Ulcer on the Dorsum of the Tongue,1
Hyperemia,Painful swallowing,1
Hyperemia,Palpation elicits crepitus.,1
Hyperemia,Papule,1
Hyperemia,Plaque,1
Hyperemia,Rash,2
Hyperemia,Redness of the chin skin,1
Hyperemia,Salivation,1
Hyperemia,Scab Formation,2
Hyperemia,Skin Inflammation,1
Hyperemia,Skin Swelling,1
Hyperemia,Skin damage,1
Hyperemia,Skin redness,2
Hyperemia,Sparse hair,2
Hyperemia,Squamous Patch,1
Hyperemia,Stomatitis,1
Hyperemia,There are black spots under the chin.,1
Hyperemia,There is a sense of fluctuation.,1
Hyperemia,Thickening and Coarsening of the Skin,1
Hyperemia,Ulceration,1
Hyperemia,Pupillary White Discharge,4
Hyperemia,Sneezing,3
Hyperemia,Pigmentation,1
Hyperemia,Visible mucosal cyanosis,1
Hyperemia,Lymphadenopathy,1
Hyperemia,Shaking Head and Scratching Ears,1
Hyperemia,Mass lesion,1
Hyperemia,The color of the fur on the dorsal side of the tail has darkened to a deep coffee brown.,1
Hyperemia,Icterus of visible mucous membranes,1
Hyperemia,Vomiting,1
Hyperemia,Increased abdominal circumference,1
Hyperemia,Reduced physical activity,1
Hyperemia,Undescended Testicle,1
Dilated pupils,Ectropion,101
Dilated pupils,Entropion,99
Dilated pupils,Exophthalmos,97
Dilated pupils,Eye pain,117
Dilated pupils,Focal Lesion Cluster,6
Dilated pupils,Increased ocular discharge,151
Dilated pupils,Mucopurulent ocular discharge,84
Dilated pupils,Nystagmus,102
Dilated pupils,Ocular Abnormalities,98
Dilated pupils,Photophobia,105
Dilated pupils,Protrusion of the eyeball from the orbit,41
Dilated pupils,Pupillary White Discharge,12
Dilated pupils,Pupillary constriction,90
Dilated pupils,Pupillary dilation,70
Dilated pupils,Ulcerative Keratitis,107
Dilated pupils,Inability to stand,2
Dilated pupils,Mucosal Hemorrhage,6
Dilated pupils,Spinning in circles,1
Dilated pupils,Epiphora,11
Dilated pupils,Pupillary white discharge,31
Dilated pupils,Purulent ocular discharge (purulent eye),31
Dilated pupils,Edema,11
Dilated pupils,Elevated Body Temperature (Fever),9
Dilated pupils,Weakness,4
Dilated pupils,Increased vaginal discharge,4
Dilated pupils,Dry ear secretions,7
Dilated pupils,Mental depression,41
Dilated pupils,Oily Ear Discharge,1
Dilated pupils,Purulent ear discharge,11
Dilated pupils,Purulent intracanalicular discharge,7
Dilated pupils,Elevated body temperature,14
Dilated pupils,Tic,40
Dilated pupils,Weakness in the limbs or forelimbs and hindlimbs,10
Dilated pupils,Responsive to rapidly approaching objects,27
Dilated pupils,Dyspnea,16
Dilated pupils,Visible mucosal cyanosis,7
Dilated pupils,Hyperemia,10
Dilated pupils,Vomiting,34
Dilated pupils,Sneezing,4
Dilated pupils,Foul-smelling feces,1
Dilated pupils,Hypothermia,9
Dilated pupils,Shock,17
Dilated pupils,Watery stool,1
Dilated pupils,Hyporexia,10
Dilated pupils,Purulent ocular discharge,10
Dilated pupils,Tilted head,2
Dilated pupils,Muscle Atrophy,7
Dilated pupils,Purple tongue,4
Dilated pupils,Weakness of the limbs,2
Dilated pupils,Reduced water intake,5
Dilated pupils,Salivation,32
Dilated pupils,Unable to stand,5
Dilated pupils,Emaciation,6
Dilated pupils,Reaction to Rapidly Approaching Objects,2
Dilated pupils,Shortness of breath,19
Dilated pupils,Skin laxity and loss of elasticity,1
Dilated pupils,Syncope,9
Dilated pupils,Proptosis of the eyeball,21
Dilated pupils,Loose gums,7
Dilated pupils,Loss of appetite,2
Dilated pupils,Skin Bruising,10
Dilated pupils,Skin redness and swelling,25
Dilated pupils,Stiffness and difficulty in movement after prolonged lying down or upon getting up,3
Dilated pupils,Mouth breathing,4
Dilated pupils,Neurological symptoms (such as convulsions),2
Dilated pupils,Facial Swelling,6
Dilated pupils,Icterus of visible mucous membranes,2
Dilated pupils,"The head is held high, unwilling to bow down.",2
Dilated pupils,Does the heart rate increase?,6
Dilated pupils,Hemorrhage or protrusion of a new growth from the oral cavity,7
Dilated pupils,Icterus of the mucous membrane,1
Dilated pupils,Pale visible mucosa,10
Dilated pupils,Lesion Mass,1
Dilated pupils,Gingival swelling,4
Dilated pupils,Reduced food intake,7
Dilated pupils,Reflux,3
Dilated pupils,No defecation,6
Dilated pupils,Quadriplegia,5
Dilated pupils,Erythema,5
Dilated pupils,Pain,8
Dilated pupils,Redness and swelling,5
Dilated pupils,Swelling,3
Dilated pupils,Swelling and redness,3
Dilated pupils,Mass Lesion,2
Dilated pupils,Paralysis of the hind limbs,3
Dilated pupils,Neurological symptoms (such as seizures),4
Dilated pupils,Limping,5
Dilated pupils,Fecal incontinence,5
Dilated pupils,Shortness of Breath,3
Dilated pupils,Increased food intake,1
Dilated pupils,Scratching the eyes,2
Dilated pupils,Reduced physical activity,2
Dilated pupils,Howl,2
Dilated pupils,Nasal Bleeding,5
Dilated pupils,Hair Removal and Diffuse Erythema,4
Dilated pupils,Mild skin fissures,6
Dilated pupils,Patchy,2
Dilated pupils,Rash,9
Dilated pupils,Scales,8
Dilated pupils,Scratch the eyes,5
Dilated pupils,Skin Inflammation,8
Dilated pupils,Skin Itching,5
Dilated pupils,Skin injury,5
Dilated pupils,Skin redness,7
Dilated pupils,Squamous Patch,6
Dilated pupils,There are black spots the size of sesame seeds on the skin.,6
Dilated pupils,Ear Back Hair Removal,2
Dilated pupils,Ear congestion,6
Dilated pupils,Head-shaking,2
Dilated pupils,Oily ear discharge,3
Dilated pupils,Scratching the ears,2
Dilated pupils,No Urination,4
Dilated pupils,Scab Formation,6
Dilated pupils,Ulceration,6
Dilated pupils,Respiratory Deficiency,5
Dilated pupils,Unable to lift one's head when looking down.,1
Dilated pupils,Increased abdominal circumference,3
Dilated pupils,Motor Dyscoordination,1
Dilated pupils,Ear Odor,1
Dilated pupils,Earwax,1
Dilated pupils,Oral Bleeding,10
Dilated pupils,Swelling under the eyes,2
Dilated pupils,Gingival Swelling,10
Dilated pupils,Generalized or localized skeletal muscle weakness,2
Dilated pupils,Hair Follicle Casts,6
Dilated pupils,Infected Ulceration,2
Dilated pupils,Petechiae,2
Dilated pupils,Wound erosion,3
Dilated pupils,Polydipsia and Polyuria,1
Dilated pupils,Polyuria,2
Dilated pupils,Dry Gangrene of the Skin,3
Dilated pupils,Dry and Coarse Hair,4
Dilated pupils,Dysphagia,5
Dilated pupils,"Elevated, round to oval skin lesions",4
Dilated pupils,Epidermal Hemorrhage,7
Dilated pupils,Erosion,3
Dilated pupils,Erosion of the oral mucosa,7
Dilated pupils,Exposing a red wound surface,1
Dilated pupils,Facial swelling,2
Dilated pupils,Frequent licking,3
Dilated pupils,Gingival Bleeding,2
Dilated pupils,Gingivitis,6
Dilated pupils,Hair Loss,3
Dilated pupils,Hematoma,4
Dilated pupils,Itching,9
Dilated pupils,Itchy skin,2
Dilated pupils,"Manifestation of inflammatory changes such as redness, swelling, heat, and pain.",2
Dilated pupils,Miliary Dermatitis,5
Dilated pupils,Mucosal Ulcer,8
Dilated pupils,Nodule,4
Dilated pupils,Non-Pruritic Alopecia,3
Dilated pupils,Oral Bloody Secretions,4
Dilated pupils,Oral Malodor,6
Dilated pupils,Oral Pain,5
Dilated pupils,Oral Ulcer,7
Dilated pupils,Oral Ulcer on the Dorsum of the Tongue,2
Dilated pupils,Painful swallowing,4
Dilated pupils,Palpation elicits crepitus.,3
Dilated pupils,Papule,6
Dilated pupils,Plaque,5
Dilated pupils,Pustule,6
Dilated pupils,Redness of the chin skin,4
Dilated pupils,Skin Swelling,4
Dilated pupils,Skin Wound,6
Dilated pupils,Skin damage,3
Dilated pupils,Sparse hair,3
Dilated pupils,Stomatitis,5
Dilated pupils,There are black spots under the chin.,4
Dilated pupils,There is a sense of fluctuation.,2
Dilated pupils,Thickening and Coarsening of the Skin,1
Dilated pupils,Hematuria,1
Dilated pupils,Increased water intake,2
Dilated pupils,Weakness in the limbs,1
Dilated pupils,Weight Fluctuation,2
Dilated pupils,Hyperemia of visible mucosa,4
Dilated pupils,Neurological Symptoms,2
Dilated pupils,Incapacitated,2
Dilated pupils,Light-colored bloody stool,1
Dilated pupils,Purplish tongue,1
Dilated pupils,The head is held high and refuses to bow down.,1
Dilated pupils,Stenosis of the nasal aperture,1
Dilated pupils,Frequent urination,2
Dilated pupils,Oliguria or Anuria,1
Dilated pupils,Facial Hemorrhagic Secretions,1
Dilated pupils,Facial ulceration,1
Dilated pupils,Hemorrhage,5
Dilated pupils,Increased Preputial Secretions,2
Dilated pupils,Scrotal erythema,2
Dilated pupils,Swelling at the base of the penis,2
Dilated pupils,Undescended Testicle,2
Dilated pupils,Vaginal discharge,1
Dilated pupils,Purulent Nasal Discharge (Nasal Discharge),3
Dilated pupils,Exercise Intolerance,2
Dilated pupils,Hyperpigmentation of the skin,2
Dilated pupils,Intermittent Diarrhea,2
Dilated pupils,Nasal discharge,3
Dilated pupils,Purulent nasal discharge,4
Dilated pupils,Serous Nasal Discharge,4
Dilated pupils,Thickening of the skin,1
Dilated pupils,Ulcer,4
Dilated pupils,Ulcerative Infection,4
Dilated pupils,Mass lesion,1
Dilated pupils,Ear Swelling,1
Dilated pupils,Hyperplastic External Auditory Canal Stenosis,2
Dilated pupils,Streaming frothy nasal discharge,1
Dilated pupils,Urinary Incontinence,6
Dilated pupils,Whether the muscles have atrophied,1
Dilated pupils,Dry and coarse hair,1
Dilated pupils,Eosinophilic Granuloma,1
Dilated pupils,Eosinophilic plaque,1
Dilated pupils,Epidermal Elevation,1
Dilated pupils,Epidermal Necrosis,1
Dilated pupils,Exposure of the red wound surface,2
Dilated pupils,Exudate,1
Dilated pupils,Exudes yellowish-white viscous pus,1
Dilated pupils,Foamy nasal discharge,1
Dilated pupils,Follicular Impetigo,1
Dilated pupils,Folliculitis,1
Dilated pupils,Foot Pad Injury,1
Dilated pupils,Footpad Swelling,1
Dilated pupils,Footpad ulceration,1
Dilated pupils,Hair is prone to breakage.,1
Dilated pupils,Hair thinning,1
Dilated pupils,Hypertrophic Stenosis of the External Auditory Canal,1
Dilated pupils,Interdigital Abscess,1
Dilated pupils,Interdigital redness,1
Dilated pupils,Linear Granuloma,1
Dilated pupils,"Manifestation of inflammatory changes such as redness, swelling, heat, and pain",1
Dilated pupils,Marginal Desquamation,1
Dilated pupils,Mucosal Ulceration,1
Dilated pupils,Oral Ulcer on the Tongue Surface,2
Dilated pupils,Painless ulcer,1
Dilated pupils,Postauricular Hair Removal,1
Dilated pupils,Red papules on the skin,1
Dilated pupils,Scratching one's ears,1
Dilated pupils,Skin Ulcer Scar,2
Dilated pupils,Skin thickening,1
Dilated pupils,Small mass,1
Dilated pupils,Sparse hair at the joints,2
Dilated pupils,The color of the fur on the dorsal side of the tail has darkened to a deep brown.,1
Dilated pupils,The tail fur has become very greasy.,1
Dilated pupils,There is a fistula.,1
Dilated pupils,Thickening and roughening of the skin,2
Dilated pupils,Tick Head Remnants,1
Dilated pupils,Visible Ticks,1
Dilated pupils,Weight loss,2
Dilated pupils,Dull breathing,3
Dilated pupils,Respiratory Deficit,1
Dilated pupils,Jaundice,3
Dilated pupils,Mouth Breathing,1
Dilated pupils,Hair Removal,1
Dilated pupils,Pigmentation,1
Dilated pupils,Sialorrhea,1
Dilated pupils,Skin Injury,2
Dilated pupils,Skin Odor,1
Dilated pupils,Skin Redness,1
Dilated pupils,Lymphadenopathy,1
Dilated pupils,Redness and Swelling,1
Dilated pupils,Exhibits a sense of fluctuation.,1
Dilated pupils,Gingival bleeding,1
Dilated pupils,Head tilt towards the affected side,1
Dilated pupils,Headbanging,1
Dilated pupils,Nasal discharge resembling frothy fluid,1
Dilated pupils,Runny nose,2
Dilated pupils,Sinusitis,1
Dilated pupils,Mouth Breathing (Cat),1
Dilated pupils,Tilted Head,1
Dilated pupils,Skin laxity and lack of elasticity,1
Dilated pupils,"Lice, fleas, ticks, or mites found on the body",1
Dilated pupils,Salivate,1
Focal Lesion Cluster,Increased ocular discharge,7
Focal Lesion Cluster,Mucopurulent ocular discharge,5
Focal Lesion Cluster,Nystagmus,6
Focal Lesion Cluster,Ocular Abnormalities,6
Focal Lesion Cluster,Photophobia,4
Focal Lesion Cluster,Protrusion of the eyeball from the orbit,2
Focal Lesion Cluster,Pupillary White Discharge,3
Focal Lesion Cluster,Pupillary constriction,5
Focal Lesion Cluster,Pupillary dilation,6
Focal Lesion Cluster,Ulcerative Keratitis,6
Focal Lesion Cluster,Hemorrhage,1
Focal Lesion Cluster,Purulent nasal discharge,1
Focal Lesion Cluster,Hyperemia,4
Focal Lesion Cluster,Pupillary white discharge,2
Focal Lesion Cluster,Purulent ocular discharge (purulent eye),1
Focal Lesion Cluster,Responsive to rapidly approaching objects,3
Focal Lesion Cluster,Hyporexia,3
Focal Lesion Cluster,Mental depression,6
Focal Lesion Cluster,Swelling,1
Focal Lesion Cluster,Pain,2
Focal Lesion Cluster,Palpation reveals a fluctuant sensation.,5
Focal Lesion Cluster,Proptosis of the eyeball,3
Focal Lesion Cluster,Vaginal discharge,1
Focal Lesion Cluster,Itching,2
Focal Lesion Cluster,Scab Formation,1
Focal Lesion Cluster,Lymphadenopathy,5
Focal Lesion Cluster,Scratch the eyes,1
Focal Lesion Cluster,Ulcerative Infection,1
Focal Lesion Cluster,Skin redness and swelling,4
Focal Lesion Cluster,Increased abdominal circumference,5
Focal Lesion Cluster,Hair Removal,1
Focal Lesion Cluster,Skin Itching,1
Focal Lesion Cluster,Purulent ear discharge,1
Focal Lesion Cluster,Redness of the chin skin,1
Focal Lesion Cluster,Mucosal Hemorrhage,1
Focal Lesion Cluster,Skin Swelling,3
Focal Lesion Cluster,Thickening and roughening of the skin,1
Focal Lesion Cluster,Pustule,1
Focal Lesion Cluster,Unpleasant Skin Odor,1
Focal Lesion Cluster,Oily ear discharge,1
Focal Lesion Cluster,Thickening of the skin,2
Focal Lesion Cluster,Lice found on the body,3
Focal Lesion Cluster,Nodule,2
Focal Lesion Cluster,Small Mass,2
Focal Lesion Cluster,There are black spots under the chin.,1
Focal Lesion Cluster,There are insect eggs.,1
Focal Lesion Cluster,Reduced physical activity,1
Focal Lesion Cluster,Hyperplastic External Auditory Canal Stenosis,1
Focal Lesion Cluster,There are black spots the size of sesame seeds on the skin.,1
Focal Lesion Cluster,Increased vaginal discharge,1
Focal Lesion Cluster,No defecation,1
Focal Lesion Cluster,Oliguria or Anuria,1
Photophobia,Protrusion of the eyeball from the orbit,39
Photophobia,Pupillary White Discharge,14
Photophobia,Pupillary constriction,70
Photophobia,Pupillary dilation,70
Photophobia,Ulcerative Keratitis,119
Photophobia,Pupillary white discharge,37
Photophobia,Purulent ear discharge,9
Photophobia,Purulent intracanalicular discharge,8
Photophobia,Scratching one's ears,2
Photophobia,Responsive to rapidly approaching objects,35
Photophobia,Purulent ocular discharge (purulent eye),37
Photophobia,Purulent ocular discharge,16
Photophobia,Skin redness and swelling,26
